msme_id,period,return_type,turnover,tax_paid,filed_on_time,late_days
msme_annapurna_002,2024-07-01,GSTR-3B,503702.61,60444.31,True,0
msme_annapurna_002,2024-08-01,GSTR-3B,496831.39,59619.77,True,0
msme_annapurna_002,2024-09-01,GSTR-3B,522670.27,62720.43,True,0
msme_annapurna_002,2024-10-01,GSTR-3B,728377.96,87405.35,False,45
msme_annapurna_002,2024-11-01,GSTR-3B,361094.96,43331.4,False,6
msme_annapurna_002,2024-12-01,GSTR-3B,853523.31,102422.8,True,0
msme_annapurna_002,2025-01-01,GSTR-3B,807324.76,96878.97,False,20
msme_annapurna_002,2025-02-01,GSTR-3B,530311.28,63637.35,True,0
msme_annapurna_002,2025-03-01,GSTR-3B,565339.51,67840.74,True,0
msme_annapurna_002,2025-04-01,GSTR-3B,427963.67,51355.64,True,0
msme_annapurna_002,2025-05-01,GSTR-3B,689390.18,82726.82,True,0
msme_annapurna_002,2025-06-01,GSTR-3B,559331.01,67119.72,True,0
msme_annapurna_002,2025-07-01,GSTR-3B,547679.01,65721.48,False,2
msme_annapurna_002,2025-08-01,GSTR-3B,787138.89,94456.67,False,1
msme_annapurna_002,2025-09-01,GSTR-3B,565146.49,67817.58,True,0
msme_annapurna_002,2025-10-01,GSTR-3B,654379.79,78525.58,True,0
msme_annapurna_002,2025-11-01,GSTR-3B,664039.95,79684.79,True,0
msme_annapurna_002,2025-12-01,GSTR-3B,512660.73,61519.29,True,0
msme_annapurna_002,2026-01-01,GSTR-3B,693019.69,83162.36,True,0
msme_annapurna_002,2026-02-01,GSTR-3B,529395.5,63527.46,True,0
msme_annapurna_002,2026-03-01,GSTR-3B,406601.91,48792.23,True,0
msme_annapurna_002,2026-04-01,GSTR-3B,651743.79,78209.26,True,0
msme_annapurna_002,2026-05-01,GSTR-3B,442362.84,53083.54,True,0
msme_annapurna_002,2026-06-01,GSTR-3B,491890.86,59026.9,True,0
msme_artisantextiles_008,2024-07-01,GSTR-3B,599443.28,71933.19,True,0
msme_artisantextiles_008,2024-08-01,GSTR-3B,417014.63,50041.76,True,0
msme_artisantextiles_008,2024-09-01,GSTR-3B,326981.07,39237.73,True,0
msme_artisantextiles_008,2024-10-01,GSTR-3B,561101.88,67332.23,False,7
msme_artisantextiles_008,2024-11-01,GSTR-3B,412081.96,49449.84,False,15
msme_artisantextiles_008,2024-12-01,GSTR-3B,659624.57,79154.95,False,10
msme_artisantextiles_008,2025-01-01,GSTR-3B,570375.41,68445.05,True,0
msme_artisantextiles_008,2025-02-01,GSTR-3B,643642.29,77237.07,True,0
msme_artisantextiles_008,2025-03-01,GSTR-3B,493664.82,59239.78,True,0
msme_artisantextiles_008,2025-04-01,GSTR-3B,693174.01,83180.88,True,0
msme_artisantextiles_008,2025-05-01,GSTR-3B,586925.87,70431.1,False,4
msme_artisantextiles_008,2025-06-01,GSTR-3B,684031.77,82083.81,True,0
msme_artisantextiles_008,2025-07-01,GSTR-3B,421369.78,50564.37,False,6
msme_artisantextiles_008,2025-08-01,GSTR-3B,443719.59,53246.35,True,0
msme_artisantextiles_008,2025-09-01,GSTR-3B,572844.25,68741.31,True,0
msme_artisantextiles_008,2025-10-01,GSTR-3B,473981.62,56877.79,False,21
msme_artisantextiles_008,2025-11-01,GSTR-3B,374775.95,44973.11,False,16
msme_artisantextiles_008,2025-12-01,GSTR-3B,436415.82,52369.9,True,0
msme_artisantextiles_008,2026-01-01,GSTR-3B,517841.32,62140.96,False,9
msme_artisantextiles_008,2026-02-01,GSTR-3B,551841.91,66221.03,False,11
msme_artisantextiles_008,2026-03-01,GSTR-3B,369750.53,44370.06,True,0
msme_artisantextiles_008,2026-04-01,GSTR-3B,652303.4,78276.41,False,1
msme_artisantextiles_008,2026-05-01,GSTR-3B,803905.36,96468.64,True,0
msme_artisantextiles_008,2026-06-01,GSTR-3B,520998.2,62519.78,True,0
msme_chaiexpress_007,2024-07-01,GSTR-3B,1145791.98,137495.04,True,0
msme_chaiexpress_007,2024-08-01,GSTR-3B,1069482.12,128337.85,True,0
msme_chaiexpress_007,2024-09-01,GSTR-3B,1070174.24,128420.91,True,0
msme_chaiexpress_007,2024-10-01,GSTR-3B,1177101.17,141252.14,True,0
msme_chaiexpress_007,2024-11-01,GSTR-3B,1392625.58,167115.07,True,0
msme_chaiexpress_007,2024-12-01,GSTR-3B,1353776.14,162453.14,True,0
msme_chaiexpress_007,2025-01-01,GSTR-3B,985197.34,118223.68,True,0
msme_chaiexpress_007,2025-02-01,GSTR-3B,1999049.96,239886.0,True,0
msme_chaiexpress_007,2025-03-01,GSTR-3B,1406301.4,168756.17,True,0
msme_chaiexpress_007,2025-04-01,GSTR-3B,2036878.81,244425.46,True,0
