msme_id,month,employee_count,wage_bill,contribution_paid
msme_annapurna_002,2024-07-01,8,75449.28,True
msme_annapurna_002,2024-08-01,8,76646.55,True
msme_annapurna_002,2024-09-01,8,75547.37,True
msme_annapurna_002,2024-10-01,8,75948.93,True
msme_annapurna_002,2024-11-01,8,77062.28,True
msme_annapurna_002,2024-12-01,8,76598.72,True
msme_annapurna_002,2025-01-01,8,76246.29,False
msme_annapurna_002,2025-02-01,8,77193.11,True
msme_annapurna_002,2025-03-01,8,76933.91,True
msme_annapurna_002,2025-04-01,8,75386.32,True
msme_annapurna_002,2025-05-01,8,75942.65,True
msme_annapurna_002,2025-06-01,8,76269.42,True
msme_annapurna_002,2025-07-01,8,76918.77,True
msme_annapurna_002,2025-08-01,8,75819.38,True
msme_annapurna_002,2025-09-01,8,74840.37,True
msme_annapurna_002,2025-10-01,8,76446.46,True
msme_annapurna_002,2025-11-01,8,75817.09,True
msme_annapurna_002,2025-12-01,8,77132.93,True
msme_annapurna_002,2026-01-01,8,74258.35,True
msme_annapurna_002,2026-02-01,8,77604.91,True
msme_annapurna_002,2026-03-01,8,75482.86,True
msme_annapurna_002,2026-04-01,8,74435.68,True
msme_annapurna_002,2026-05-01,8,76068.38,True
msme_annapurna_002,2026-06-01,8,76745.23,True
msme_sakhi_001,2024-07-01,45,538639.76,True
msme_sakhi_001,2024-08-01,46,548808.78,True
msme_sakhi_001,2024-09-01,46,553308.22,True
msme_sakhi_001,2024-10-01,47,565132.4,True
msme_sakhi_001,2024-11-01,48,577888.39,True
msme_sakhi_001,2024-12-01,48,579885.03,True
msme_sakhi_001,2025-01-01,49,586976.55,True
msme_sakhi_001,2025-02-01,50,604680.84,True
msme_sakhi_001,2025-03-01,51,609654.46,True
msme_sakhi_001,2025-04-01,51,609494.97,True
msme_sakhi_001,2025-05-01,52,626143.68,True
msme_sakhi_001,2025-06-01,53,637248.31,True
msme_sakhi_001,2025-07-01,54,641631.61,True
msme_sakhi_001,2025-08-01,55,674728.26,True
msme_sakhi_001,2025-09-01,55,653588.81,True
msme_sakhi_001,2025-10-01,56,661769.92,True
msme_sakhi_001,2025-11-01,57,691754.53,True
msme_sakhi_001,2025-12-01,58,699676.18,True
msme_sakhi_001,2026-01-01,59,710785.7,True
msme_sakhi_001,2026-02-01,60,715460.35,True
msme_sakhi_001,2026-03-01,61,721764.52,True
msme_sakhi_001,2026-04-01,62,742368.33,True
msme_sakhi_001,2026-05-01,62,743660.17,True
msme_sakhi_001,2026-06-01,63,756093.9,True
